# Probability of Window [ -0.00, 0.01 ]
# Value       Probability
1.8427        0.0426  
1.8967        0.0483  
1.9508        0.0564  
2.0048        0.0630  
2.0589        0.0646  
2.1129        0.0694  
2.1670        0.0709  
2.2210        0.0691  
2.2751        0.0640  
2.3291        0.0606  
2.3832        0.0539  
2.4372        0.0477  
2.4913        0.0380  
2.5453        0.0315  
2.5994        0.0234  
2.6534        0.0177  
2.7075        0.0133  
2.7615        0.0085  
2.8156        0.0060  
2.8696        0.0041  
2.9237        0.0026  
2.9777        0.0014  
3.0318        0.0009  
3.0858        0.0003  
3.1399        0.0003  
3.1939        0.0001  
3.2480        0.0000  
3.3020        0.0000  
3.3561        0.0001  
#----------------------------------------
# Probability of Window [ 0.23, 0.24 ]
# Value       Probability
0.5768        0.0000  
0.6305        0.0000  
0.6842        0.0000  
0.7380        0.0000  
0.7917        0.0000  
0.8454        0.0000  
0.8991        0.0001  
0.9529        0.0002  
1.0066        0.0002  
1.0603        0.0003  
1.1141        0.0006  
1.1678        0.0010  
1.2215        0.0017  
1.2753        0.0023  
1.3290        0.0033  
1.3827        0.0045  
1.4364        0.0064  
1.4902        0.0099  
1.5439        0.0125  
1.5976        0.0171  
1.6514        0.0218  
1.7051        0.0281  
1.7588        0.0352  
1.8126        0.0418  
1.8663        0.0492  
1.9200        0.0547  
1.9737        0.0602  
